request_id,BurstId,fecha,year,burst_side,resolved_raw_symbol,outcome_file,decision_utc,p0_ts_event,p0_price_databento,p0_lag_ms,atas_decision_price,atas_databento_p0_abs_ticks,post_t_match_events,base_label,low_85_label,high_115_label,tau_push,tau_A,tau_B,max_directional_ticks,min_directional_ticks,record_ordinal_unique,used_match_events_closed,used_match_events_single_ts_event,maybe_bad_book_zero,sequence_regressions_zero,double_decode_deterministic,p0_within_prior_100ms,post_trade_available,contract_single,contract_symbol_match,atas_databento_p0_within_2_ticks,information_status
NQ_JOINT_AB_V4_MBO_2022-06-08_LB_20220608_093102_SELL_0001,LB_20220608_093102_SELL_0001,2022-06-08,2022,SELL,NQM2,C:\Users\k_99_\Desktop\codding\data_footprint_generator\databento_mbo\joint_ab_v4_outcome98_20260724\NQ_JOINT_AB_V4_MBO_2022-06-08_LB_20220608_093102_SELL_0001_PAD100MS.mbo.dbn.zst,2022-06-08T13:31:03.007000+00:00,2022-06-08T13:31:03.006993241+00:00,12646.75,0.006,12648.75,8.0,358,C_VARIABLE,C_VARIABLE,C_VARIABLE,2022-06-08T13:31:03.274155011+00:00,,,18.0,-16.0,True,True,True,True,True,True,True,True,True,True,False,OUTCOME_ONLY_NEVER_PREDICTOR
NQ_JOINT_AB_V4_MBO_2022-06-27_LB_20220627_093202_SELL_0001,LB_20220627_093202_SELL_0001,2022-06-27,2022,SELL,NQU2,C:\Users\k_99_\Desktop\codding\data_footprint_generator\databento_mbo\joint_ab_v4_outcome98_20260724\NQ_JOINT_AB_V4_MBO_2022-06-27_LB_20220627_093202_SELL_0001_PAD100MS.mbo.dbn.zst,2022-06-27T13:32:03.009000+00:00,2022-06-27T13:32:03.008424397+00:00,12165.0,0.575,12166.25,5.0,284,C_VARIABLE,C_VARIABLE,C_VARIABLE,2022-06-27T13:32:07.836713639+00:00,,,23.0,-7.0,True,True,True,True,True,True,True,True,True,True,False,OUTCOME_ONLY_NEVER_PREDICTOR
NQ_JOINT_AB_V4_MBO_2022-07-18_LB_20220718_093105_SELL_0001,LB_20220718_093105_SELL_0001,2022-07-18,2022,SELL,NQU2,C:\Users\k_99_\Desktop\codding\data_footprint_generator\databento_mbo\joint_ab_v4_outcome98_20260724\NQ_JOINT_AB_V4_MBO_2022-07-18_LB_20220718_093105_SELL_0001_PAD100MS.mbo.dbn.zst,2022-07-18T13:31:06.004000+00:00,2022-07-18T13:31:06.003660609+00:00,12095.5,0.339,12096.25,3.0,324,C_VARIABLE,C_VARIABLE,C_VARIABLE,,,,12.0,-7.0,True,True,True,True,True,True,True,True,True,True,False,OUTCOME_ONLY_NEVER_PREDICTOR
NQ_JOINT_AB_V4_MBO_2022-07-19_LB_20220719_093600_SELL_0001,LB_20220719_093600_SELL_0001,2022-07-19,2022,SELL,NQU2,C:\Users\k_99_\Desktop\codding\data_footprint_generator\databento_mbo\joint_ab_v4_outcome98_20260724\NQ_JOINT_AB_V4_MBO_2022-07-19_LB_20220719_093600_SELL_0001_PAD100MS.mbo.dbn.zst,2022-07-19T13:36:01.015000+00:00,2022-07-19T13:36:01.014845465+00:00,12026.75,0.154,12028.75,8.0,252,C_VARIABLE,C_VARIABLE,C_VARIABLE,,,,-0.0,-17.0,True,True,True,True,True,True,True,True,True,True,False,OUTCOME_ONLY_NEVER_PREDICTOR
NQ_JOINT_AB_V4_MBO_2022-07-20_LB_20220720_093414_BUY_0001,LB_20220720_093414_BUY_0001,2022-07-20,2022,BUY,NQU2,C:\Users\k_99_\Desktop\codding\data_footprint_generator\databento_mbo\joint_ab_v4_outcome98_20260724\NQ_JOINT_AB_V4_MBO_2022-07-20_LB_20220720_093414_BUY_0001_PAD100MS.mbo.dbn.zst,2022-07-20T13:34:15.086000+00:00,2022-07-20T13:34:15.085291103+00:00,12300.5,0.708,12301.25,3.0,198,C_VARIABLE,C_VARIABLE,C_VARIABLE,,,,3.0,-29.0,True,True,True,True,True,True,True,True,True,True,False,OUTCOME_ONLY_NEVER_PREDICTOR
NQ_JOINT_AB_V4_MBO_2022-07-26_LB_20220726_093111_SELL_0001,LB_20220726_093111_SELL_0001,2022-07-26,2022,SELL,NQU2,C:\Users\k_99_\Desktop\codding\data_footprint_generator\databento_mbo\joint_ab_v4_outcome98_20260724\NQ_JOINT_AB_V4_MBO_2022-07-26_LB_20220726_093111_SELL_0001_PAD100MS.mbo.dbn.zst,2022-07-26T13:31:12.026000+00:00,2022-07-26T13:31:12.000602619+00:00,12257.0,25.397,12257.5,2.0,263,C_VARIABLE,C_VARIABLE,C_VARIABLE,,,,7.0,-16.0,True,True,True,True,True,True,True,True,True,True,True,OUTCOME_ONLY_NEVER_PREDICTOR
NQ_JOINT_AB_V4_MBO_2022-07-29_LB_20220729_093500_SELL_0001,LB_20220729_093500_SELL_0001,2022-07-29,2022,SELL,NQU2,C:\Users\k_99_\Desktop\codding\data_footprint_generator\databento_mbo\joint_ab_v4_outcome98_20260724\NQ_JOINT_AB_V4_MBO_2022-07-29_LB_20220729_093500_SELL_0001_PAD100MS.mbo.dbn.zst,2022-07-29T13:35:01.099000+00:00,2022-07-29T13:35:01.098944761+00:00,12766.5,0.055,12767.5,4.0,312,C_VARIABLE,C_VARIABLE,C_VARIABLE,,,,1.0,-21.0,True,True,True,True,True,True,True,True,True,True,False,OUTCOME_ONLY_NEVER_PREDICTOR
NQ_JOINT_AB_V4_MBO_2022-08-01_LB_20220801_093127_SELL_0001,LB_20220801_093127_SELL_0001,2022-08-01,2022,SELL,NQU2,C:\Users\k_99_\Desktop\codding\data_footprint_generator\databento_mbo\joint_ab_v4_outcome98_20260724\NQ_JOINT_AB_V4_MBO_2022-08-01_LB_20220801_093127_SELL_0001_PAD100MS.mbo.dbn.zst,2022-08-01T13:31:28.101000+00:00,2022-08-01T13:31:28.045336863+00:00,12876.5,55.663,12876.25,1.0,237,C_VARIABLE,C_VARIABLE,C_VARIABLE,,,,7.0,-32.0,True,True,True,True,True,True,True,True,True,True,True,OUTCOME_ONLY_NEVER_PREDICTOR
NQ_JOINT_AB_V4_MBO_2022-08-04_LB_20220804_093511_BUY_0001,LB_20220804_093511_BUY_0001,2022-08-04,2022,BUY,NQU2,C:\Users\k_99_\Desktop\codding\data_footprint_generator\databento_mbo\joint_ab_v4_outcome98_20260724\NQ_JOINT_AB_V4_MBO_2022-08-04_LB_20220804_093511_BUY_0001_PAD100MS.mbo.dbn.zst,2022-08-04T13:35:12.032000+00:00,2022-08-04T13:35:12.031929309+00:00,13304.75,0.06999999999999999,13305.0,1.0,247,C_VARIABLE,C_VARIABLE,C_VARIABLE,,,,2.0,-18.0,True,True,True,True,True,True,True,True,True,True,True,OUTCOME_ONLY_NEVER_PREDICTOR
NQ_JOINT_AB_V4_MBO_2022-08-09_LB_20220809_093105_SELL_0001,LB_20220809_093105_SELL_0001,2022-08-09,2022,SELL,NQU2,C:\Users\k_99_\Desktop\codding\data_footprint_generator\databento_mbo\joint_ab_v4_outcome98_20260724\NQ_JOINT_AB_V4_MBO_2022-08-09_LB_20220809_093105_SELL_0001_PAD100MS.mbo.dbn.zst,2022-08-09T13:31:06.048000+00:00,2022-08-09T13:31:06.024965383+00:00,13070.5,23.034,13072.5,8.0,491,C_VARIABLE,C_VARIABLE,C_VARIABLE,2022-08-09T13:31:07.570443367+00:00,,,26.0,-11.0,True,True,True,True,True,True,True,True,True,True,False,OUTCOME_ONLY_NEVER_PREDICTOR
NQ_JOINT_AB_V4_MBO_2022-08-15_LB_20220815_093300_BUY_0001,LB_20220815_093300_BUY_0001,2022-08-15,2022,BUY,NQU2,C:\Users\k_99_\Desktop\codding\data_footprint_generator\databento_mbo\joint_ab_v4_outcome98_20260724\NQ_JOINT_AB_V4_MBO_2022-08-15_LB_20220815_093300_BUY_0001_PAD100MS.mbo.dbn.zst,2022-08-15T13:33:01.053000+00:00,2022-08-15T13:33:01.052602885+00:00,13584.0,0.397,13583.75,1.0,424,C_VARIABLE,C_VARIABLE,C_VARIABLE,2022-08-15T13:33:01.302266449+00:00,,,22.0,-11.0,True,True,True,True,True,True,True,True,True,True,True,OUTCOME_ONLY_NEVER_PREDICTOR
NQ_JOINT_AB_V4_MBO_2022-08-17_LB_20220817_093558_BUY_0001,LB_20220817_093558_BUY_0001,2022-08-17,2022,BUY,NQU2,C:\Users\k_99_\Desktop\codding\data_footprint_generator\databento_mbo\joint_ab_v4_outcome98_20260724\NQ_JOINT_AB_V4_MBO_2022-08-17_LB_20220817_093558_BUY_0001_PAD100MS.mbo.dbn.zst,2022-08-17T13:35:59.026000+00:00,2022-08-17T13:35:59.025482309+00:00,13561.25,0.517,13561.25,0.0,314,C_VARIABLE,C_VARIABLE,C_VARIABLE,2022-08-17T13:35:59.656158813+00:00,,,18.0,-8.0,True,True,True,True,True,True,True,True,True,True,True,OUTCOME_ONLY_NEVER_PREDICTOR
NQ_JOINT_AB_V4_MBO_2022-08-31_LB_20220831_093400_SELL_0001,LB_20220831_093400_SELL_0001,2022-08-31,2022,SELL,NQU2,C:\Users\k_99_\Desktop\codding\data_footprint_generator\databento_mbo\joint_ab_v4_outcome98_20260724\NQ_JOINT_AB_V4_MBO_2022-08-31_LB_20220831_093400_SELL_0001_PAD100MS.mbo.dbn.zst,2022-08-31T13:34:01.039000+00:00,2022-08-31T13:34:01.017642681+00:00,12428.75,21.357,12430.0,5.0,161,C_VARIABLE,C_VARIABLE,C_VARIABLE,2022-08-31T13:34:01.614944455+00:00,,,17.0,-8.0,True,True,True,True,True,True,True,True,True,True,False,OUTCOME_ONLY_NEVER_PREDICTOR
NQ_JOINT_AB_V4_MBO_2022-09-01_LB_20220901_093124_SELL_0002,LB_20220901_093124_SELL_0002,2022-09-01,2022,SELL,NQU2,C:\Users\k_99_\Desktop\codding\data_footprint_generator\databento_mbo\joint_ab_v4_outcome98_20260724\NQ_JOINT_AB_V4_MBO_2022-09-01_LB_20220901_093124_SELL_0002_PAD100MS.mbo.dbn.zst,2022-09-01T13:31:25.053000+00:00,2022-09-01T13:31:25.010595897+00:00,12159.25,42.403999999999996,12158.75,2.0,230,C_VARIABLE,C_VARIABLE,C_VARIABLE,,,,5.0,-10.0,True,True,True,True,True,True,True,True,True,True,True,OUTCOME_ONLY_NEVER_PREDICTOR
NQ_JOINT_AB_V4_MBO_2022-09-06_LB_20220906_093405_BUY_0001,LB_20220906_093405_BUY_0001,2022-09-06,2022,BUY,NQU2,C:\Users\k_99_\Desktop\codding\data_footprint_generator\databento_mbo\joint_ab_v4_outcome98_20260724\NQ_JOINT_AB_V4_MBO_2022-09-06_LB_20220906_093405_BUY_0001_PAD100MS.mbo.dbn.zst,2022-09-06T13:34:06.074000+00:00,2022-09-06T13:34:06.073768907+00:00,12106.0,0.231,12106.25,1.0,145,C_VARIABLE,C_VARIABLE,C_VARIABLE,2022-09-06T13:34:07.898318427+00:00,,,17.0,-8.0,True,True,True,True,True,True,True,True,True,True,True,OUTCOME_ONLY_NEVER_PREDICTOR
NQ_JOINT_AB_V4_MBO_2022-09-28_LB_20220928_093328_SELL_0001,LB_20220928_093328_SELL_0001,2022-09-28,2022,SELL,NQZ2,C:\Users\k_99_\Desktop\codding\data_footprint_generator\databento_mbo\joint_ab_v4_outcome98_20260724\NQ_JOINT_AB_V4_MBO_2022-09-28_LB_20220928_093328_SELL_0001_PAD100MS.mbo.dbn.zst,2022-09-28T13:33:29.039000+00:00,2022-09-28T13:33:29.038552945+00:00,11296.75,0.447,11297.5,3.0,157,C_VARIABLE,C_VARIABLE,C_VARIABLE,2022-09-28T13:33:33.132416831+00:00,,,15.0,-7.0,True,True,True,True,True,True,True,True,True,True,False,OUTCOME_ONLY_NEVER_PREDICTOR
NQ_JOINT_AB_V4_MBO_2022-10-11_LB_20221011_093101_SELL_0001,LB_20221011_093101_SELL_0001,2022-10-11,2022,SELL,NQZ2,C:\Users\k_99_\Desktop\codding\data_footprint_generator\databento_mbo\joint_ab_v4_outcome98_20260724\NQ_JOINT_AB_V4_MBO_2022-10-11_LB_20221011_093101_SELL_0001_PAD100MS.mbo.dbn.zst,2022-10-11T13:31:02.078000+00:00,2022-10-11T13:31:02.077353885+00:00,10903.75,0.646,10905.0,5.0,367,C_VARIABLE,B_BREAKOUT_LIMPIO,C_VARIABLE,2022-10-11T13:31:02.859291855+00:00,,,34.0,3.0,True,True,True,True,True,True,True,True,True,True,False,OUTCOME_ONLY_NEVER_PREDICTOR
NQ_JOINT_AB_V4_MBO_2022-10-18_LB_20221018_093155_SELL_0001,LB_20221018_093155_SELL_0001,2022-10-18,2022,SELL,NQZ2,C:\Users\k_99_\Desktop\codding\data_footprint_generator\databento_mbo\joint_ab_v4_outcome98_20260724\NQ_JOINT_AB_V4_MBO_2022-10-18_LB_20221018_093155_SELL_0001_PAD100MS.mbo.dbn.zst,2022-10-18T13:31:56.038000+00:00,2022-10-18T13:31:56.037768905+00:00,11399.25,0.231,11400.0,3.0,329,C_VARIABLE,C_VARIABLE,C_VARIABLE,,,,3.0,-50.0,True,True,True,True,True,True,True,True,True,True,False,OUTCOME_ONLY_NEVER_PREDICTOR
NQ_JOINT_AB_V4_MBO_2022-10-25_LB_20221025_093119_BUY_0001,LB_20221025_093119_BUY_0001,2022-10-25,2022,BUY,NQZ2,C:\Users\k_99_\Desktop\codding\data_footprint_generator\databento_mbo\joint_ab_v4_outcome98_20260724\NQ_JOINT_AB_V4_MBO_2022-10-25_LB_20221025_093119_BUY_0001_PAD100MS.mbo.dbn.zst,2022-10-25T13:31:20.076000+00:00,2022-10-25T13:31:20.028427143+00:00,11552.25,47.572,11552.5,1.0,269,C_VARIABLE,C_VARIABLE,C_VARIABLE,,,,13.0,-1.0,True,True,True,True,True,True,True,True,True,True,True,OUTCOME_ONLY_NEVER_PREDICTOR
NQ_JOINT_AB_V4_MBO_2022-10-26_LB_20221026_093108_SELL_0002,LB_20221026_093108_SELL_0002,2022-10-26,2022,SELL,NQZ2,C:\Users\k_99_\Desktop\codding\data_footprint_generator\databento_mbo\joint_ab_v4_outcome98_20260724\NQ_JOINT_AB_V4_MBO_2022-10-26_LB_20221026_093108_SELL_0002_PAD100MS.mbo.dbn.zst,2022-10-26T13:31:09.077000+00:00,2022-10-26T13:31:09.076936073+00:00,11433.5,0.063,11435.0,6.0,432,C_VARIABLE,C_VARIABLE,C_VARIABLE,,,,-0.0,-43.0,True,True,True,True,True,True,True,True,True,True,False,OUTCOME_ONLY_NEVER_PREDICTOR
NQ_JOINT_AB_V4_MBO_2022-10-27_LB_20221027_093628_SELL_0001,LB_20221027_093628_SELL_0001,2022-10-27,2022,SELL,NQZ2,C:\Users\k_99_\Desktop\codding\data_footprint_generator\databento_mbo\joint_ab_v4_outcome98_20260724\NQ_JOINT_AB_V4_MBO_2022-10-27_LB_20221027_093628_SELL_0001_PAD100MS.mbo.dbn.zst,2022-10-27T13:36:29.053000+00:00,2022-10-27T13:36:29.026586209+00:00,11396.5,26.413,11396.25,1.0,289,C_VARIABLE,C_VARIABLE,C_VARIABLE,,,,5.0,-26.0,True,True,True,True,True,True,True,True,True,True,True,OUTCOME_ONLY_NEVER_PREDICTOR
NQ_JOINT_AB_V4_MBO_2022-10-28_LB_20221028_093127_BUY_0001,LB_20221028_093127_BUY_0001,2022-10-28,2022,BUY,NQZ2,C:\Users\k_99_\Desktop\codding\data_footprint_generator\databento_mbo\joint_ab_v4_outcome98_20260724\NQ_JOINT_AB_V4_MBO_2022-10-28_LB_20221028_093127_BUY_0001_PAD100MS.mbo.dbn.zst,2022-10-28T13:31:28.046000+00:00,2022-10-28T13:31:28.045241951+00:00,11253.0,0.758,11252.5,2.0,435,C_VARIABLE,C_VARIABLE,C_VARIABLE,,,,10.0,-36.0,True,True,True,True,True,True,True,True,True,True,True,OUTCOME_ONLY_NEVER_PREDICTOR
NQ_JOINT_AB_V4_MBO_2022-11-03_LB_20221103_093349_BUY_0001,LB_20221103_093349_BUY_0001,2022-11-03,2022,BUY,NQZ2,C:\Users\k_99_\Desktop\codding\data_footprint_generator\databento_mbo\joint_ab_v4_outcome98_20260724\NQ_JOINT_AB_V4_MBO_2022-11-03_LB_20221103_093349_BUY_0001_PAD100MS.mbo.dbn.zst,2022-11-03T13:33:50.021000+00:00,2022-11-03T13:33:50.012993237+00:00,10845.75,8.005999999999998,10846.25,2.0,305,C_VARIABLE,C_VARIABLE,C_VARIABLE,,,,2.0,-30.0,True,True,True,True,True,True,True,True,True,True,True,OUTCOME_ONLY_NEVER_PREDICTOR
NQ_JOINT_AB_V4_MBO_2023-03-21_LB_20230321_093130_BUY_0001,LB_20230321_093130_BUY_0001,2023-03-21,2023,BUY,NQM3,C:\Users\k_99_\Desktop\codding\data_footprint_generator\databento_mbo\joint_ab_v4_outcome98_20260724\NQ_JOINT_AB_V4_MBO_2023-03-21_LB_20230321_093130_BUY_0001_PAD100MS.mbo.dbn.zst,2023-03-21T13:31:31.049993+00:00,2023-03-21T13:31:31.049580721+00:00,12800.5,0.412,12801.25,3.0,177,C_VARIABLE,C_VARIABLE,C_VARIABLE,,,,2.0,-12.0,True,True,True,True,True,True,True,True,True,True,False,OUTCOME_ONLY_NEVER_PREDICTOR
NQ_JOINT_AB_V4_MBO_2023-03-28_LB_20230328_093202_SELL_0001,LB_20230328_093202_SELL_0001,2023-03-28,2023,SELL,NQM3,C:\Users\k_99_\Desktop\codding\data_footprint_generator\databento_mbo\joint_ab_v4_outcome98_20260724\NQ_JOINT_AB_V4_MBO_2023-03-28_LB_20230328_093202_SELL_0001_PAD100MS.mbo.dbn.zst,2023-03-28T13:32:03.022952+00:00,2023-03-28T13:32:03.022568749+00:00,12749.0,0.383,12748.75,1.0,311,C_VARIABLE,C_VARIABLE,C_VARIABLE,2023-03-28T13:32:06.969477097+00:00,,,25.0,-7.0,True,True,True,True,True,True,True,True,True,True,True,OUTCOME_ONLY_NEVER_PREDICTOR
NQ_JOINT_AB_V4_MBO_2023-04-03_LB_20230403_093250_BUY_0001,LB_20230403_093250_BUY_0001,2023-04-03,2023,BUY,NQM3,C:\Users\k_99_\Desktop\codding\data_footprint_generator\databento_mbo\joint_ab_v4_outcome98_20260724\NQ_JOINT_AB_V4_MBO_2023-04-03_LB_20230403_093250_BUY_0001_PAD100MS.mbo.dbn.zst,2023-04-03T13:32:51.099847+00:00,2023-04-03T13:32:51.099580369+00:00,13217.25,0.266,13217.5,1.0,141,C_VARIABLE,C_VARIABLE,C_VARIABLE,,,,5.0,-13.0,True,True,True,True,True,True,True,True,True,True,True,OUTCOME_ONLY_NEVER_PREDICTOR
NQ_JOINT_AB_V4_MBO_2023-04-04_LB_20230404_093600_SELL_0001,LB_20230404_093600_SELL_0001,2023-04-04,2023,SELL,NQM3,C:\Users\k_99_\Desktop\codding\data_footprint_generator\databento_mbo\joint_ab_v4_outcome98_20260724\NQ_JOINT_AB_V4_MBO_2023-04-04_LB_20230404_093600_SELL_0001_PAD100MS.mbo.dbn.zst,2023-04-04T13:36:01.053737+00:00,2023-04-04T13:36:01.053401423+00:00,13270.0,0.335,13271.25,5.0,142,C_VARIABLE,C_VARIABLE,C_VARIABLE,,,,8.0,-9.0,True,True,True,True,True,True,True,True,True,True,False,OUTCOME_ONLY_NEVER_PREDICTOR
NQ_JOINT_AB_V4_MBO_2023-04-19_LB_20230419_093353_SELL_0001,LB_20230419_093353_SELL_0001,2023-04-19,2023,SELL,NQM3,C:\Users\k_99_\Desktop\codding\data_footprint_generator\databento_mbo\joint_ab_v4_outcome98_20260724\NQ_JOINT_AB_V4_MBO_2023-04-19_LB_20230419_093353_SELL_0001_PAD100MS.mbo.dbn.zst,2023-04-19T13:33:54.064843+00:00,2023-04-19T13:33:54.064467257+00:00,13105.0,0.375,13105.0,0.0,235,C_VARIABLE,C_VARIABLE,C_VARIABLE,,,,3.0,-10.0,True,True,True,True,True,True,True,True,True,True,True,OUTCOME_ONLY_NEVER_PREDICTOR
